model_name,training_size,accuracy
xlnet,100,0.7235000133514404
xlnet,100,0.7509999871253967
xlnet,100,0.8080000281333923
xlnet,100,0.7944999933242798
xlnet,100,0.7609999775886536
xlnet,200,0.8184999823570251
xlnet,200,0.8475000262260437
xlnet,200,0.8084999918937683
xlnet,200,0.7979999780654907
xlnet,200,0.8289999961853027
xlnet,400,0.8535000085830688
xlnet,400,0.8445000052452087
xlnet,400,0.859000027179718
xlnet,400,0.8569999933242798
xlnet,400,0.8550000190734863
xlnet,800,0.8769999742507935
xlnet,800,0.8805000185966492
xlnet,800,0.8715000152587891
xlnet,800,0.8684999942779541
xlnet,800,0.8769999742507935
xlnet,1600,0.8865000009536743
xlnet,1600,0.8870000243186951
xlnet,1600,0.8725000023841858
xlnet,1600,0.8809999823570251
xlnet,1600,0.8759999871253967
xlnet,3200,0.8930000066757202
xlnet,3200,0.8920000195503235
xlnet,3200,0.8895000219345093
xlnet,3200,0.8889999985694885
xlnet,3200,0.890999972820282
xlnet,5000,0.8989999890327454
xlnet,5000,0.8949999809265137
xlnet,5000,0.8934999704360962
xlnet,5000,0.8989999890327454
xlnet,5000,0.8964999914169312
