model_name,training_size,accuracy
xlnet,100,0.3555000126361847
xlnet,100,0.36149999499320984
xlnet,100,0.3815000057220459
xlnet,100,0.2874999940395355
xlnet,100,0.33799999952316284
xlnet,200,0.4099999964237213
xlnet,200,0.4650000035762787
xlnet,200,0.445499986410141
xlnet,200,0.4325000047683716
xlnet,200,0.40950000286102295
xlnet,400,0.5709999799728394
xlnet,400,0.5450000166893005
xlnet,400,0.5260000228881836
xlnet,400,0.5454999804496765
xlnet,400,0.5019999742507935
xlnet,800,0.6019999980926514
xlnet,800,0.593999981880188
xlnet,800,0.5659999847412109
xlnet,800,0.5550000071525574
xlnet,800,0.6044999957084656
xlnet,1600,0.6190000176429749
xlnet,1600,0.590499997138977
xlnet,1600,0.612500011920929
xlnet,1600,0.6175000071525574
xlnet,1600,0.6010000109672546
xlnet,3200,0.6330000162124634
xlnet,3200,0.6274999976158142
xlnet,3200,0.6184999942779541
xlnet,3200,0.6284999847412109
xlnet,3200,0.6184999942779541
xlnet,5000,0.6320000290870667
xlnet,5000,0.6274999976158142
xlnet,5000,0.6265000104904175
xlnet,5000,0.6309999823570251
xlnet,5000,0.6414999961853027
