model_name,training_size,accuracy
xlnet,100,0.6315000057220459
xlnet,100,0.7120000123977661
xlnet,100,0.5475000143051147
xlnet,100,0.7490000128746033
xlnet,100,0.7789999842643738
xlnet,200,0.8529999852180481
xlnet,200,0.8579999804496765
xlnet,200,0.8485000133514404
xlnet,200,0.7950000166893005
xlnet,200,0.8314999938011169
xlnet,400,0.8805000185966492
xlnet,400,0.8774999976158142
xlnet,400,0.8619999885559082
xlnet,400,0.859000027179718
xlnet,400,0.8725000023841858
xlnet,800,0.8849999904632568
xlnet,800,0.8820000290870667
xlnet,800,0.8849999904632568
xlnet,800,0.8840000033378601
xlnet,800,0.8865000009536743
xlnet,1600,0.8949999809265137
xlnet,1600,0.8930000066757202
xlnet,1600,0.8970000147819519
xlnet,1600,0.890999972820282
xlnet,1600,0.8949999809265137
xlnet,3200,0.9014999866485596
xlnet,3200,0.8989999890327454
xlnet,3200,0.9010000228881836
xlnet,3200,0.8974999785423279
xlnet,3200,0.8999999761581421
xlnet,5000,0.9024999737739563
xlnet,5000,0.9054999947547913
xlnet,5000,0.902999997138977
xlnet,5000,0.9039999842643738
xlnet,5000,0.9035000205039978
