model_name,training_size,accuracy
xlnet,100,0.5625
xlnet,100,0.6439999938011169
xlnet,100,0.6035000085830688
xlnet,100,0.6725000143051147
xlnet,100,0.640500009059906
xlnet,200,0.8765000104904175
xlnet,200,0.7394999861717224
xlnet,200,0.8895000219345093
xlnet,200,0.8709999918937683
xlnet,200,0.9004999995231628
xlnet,400,0.9670000076293945
xlnet,400,0.9739999771118164
xlnet,400,0.9514999985694885
xlnet,400,0.9660000205039978
xlnet,400,0.9789999723434448
xlnet,800,0.9819999933242798
xlnet,800,0.9785000085830688
xlnet,800,0.9815000295639038
xlnet,800,0.9819999933242798
xlnet,800,0.9819999933242798
xlnet,1600,0.9819999933242798
xlnet,1600,0.9829999804496765
xlnet,1600,0.9815000295639038
xlnet,1600,0.9835000038146973
xlnet,1600,0.9825000166893005
xlnet,3200,0.9860000014305115
xlnet,3200,0.984000027179718
xlnet,3200,0.9860000014305115
xlnet,3200,0.9860000014305115
xlnet,3200,0.984499990940094
xlnet,5000,0.987500011920929
xlnet,5000,0.984499990940094
xlnet,5000,0.9860000014305115
xlnet,5000,0.9825000166893005
xlnet,5000,0.9860000014305115
